customer_id,age,annual_income,credit_score,employment_status,years_employed,debt_to_income_ratio,savings_balance,checking_balance,home_ownership,marital_status,num_dependents,education_level,loan_purpose,requested_loan_amount,existing_loans,payment_history,loan_term,interest_rate,monthly_payment,approval_status,credit_score_category,dti_category
0b860347-1bf8-4323-8381-9f21d47672fe,26,493487,440,2,8,0.76,622189,44809,0,0,5,0,0,15791,0,1,60,11.33,345.94,1,Poor,High
afa18860-f2e1-46c6-bb59-0fdd201dde27,72,457510,665,0,49,0.3,595307,33390,1,0,4,1,3,383112,5,3,36,8.05,12014.18,1,Fair,Good
cb0664bf-bf9b-46d8-931a-37b135a404b1,39,429443,494,0,19,0.85,946197,49957,0,1,2,4,1,397801,1,1,60,11.2,8688.89,0,Poor,High
3a4f6008-a290-4932-a237-bead9ce21e3d,79,151633,627,0,56,0.18,276972,25815,2,2,1,1,3,215472,1,2,12,16.74,19625.49,0,Fair,Good
e758b20f-dbe6-46b3-8c9c-589b3b517a56,64,209082,478,0,42,0.23,709171,21105,1,0,0,1,1,470354,0,0,180,6.24,4030.36,0,Poor,Good
3f0e284d-a246-4283-a045-8ea421cfc026,63,56779,474,3,44,0.29,697891,23544,2,2,1,3,3,274475,4,1,36,4.52,8167.24,0,Poor,Good
6fb511cb-873c-4a03-9153-b4b8d7d244df,64,213598,818,2,41,0.44,540805,33139,0,2,3,3,4,402893,1,0,180,3.02,2786.18,1,Excellent,High
d769d860-c338-409f-9370-73833e384eeb,51,280519,417,0,33,0.83,705593,19417,1,1,4,3,3,437288,1,3,36,4.03,12916.32,0,Poor,High
176894cf-9cfd-4327-a374-f1f0e6a02282,64,254283,553,0,43,0.67,595653,42363,1,3,1,0,2,20096,5,2,360,19.81,332.67,0,Poor,High
70b05392-af0f-446c-8f24-3fd4514e23cc,48,161516,340,0,26,0.45,677243,27535,1,1,5,4,3,112906,4,2,48,6.55,2680.16,1,Poor,High
18e83f92-f5ad-43c4-8445-0d54e4eee7fe,26,158891,347,3,6,0.58,558520,45140,0,2,2,3,5,244446,5,2,48,19.0,7308.96,0,Poor,High
7e08ab94-82a0-41f1-acf3-a477bad9b54d,21,99955,342,0,0,0.36,325174,39093,2,2,1,0,0,127438,0,0,24,4.65,5570.93,1,Poor,Good
1bf93e6f-ff73-4863-bd67-d81e97f37b07,32,364817,414,0,10,0.26,325181,45936,2,2,5,3,3,94184,2,1,60,17.08,2344.77,0,Poor,Good
d400e286-ae12-4cb8-9479-367fa9c1195b,30,181905,522,2,7,0.71,905851,24933,0,3,1,4,0,467875,3,0,12,15.31,42298.08,2,Poor,High
32837582-1e5f-4cac-b8b1-9b5644e86037,29,464159,523,0,5,0.18,289850,4443,2,1,0,1,5,163798,4,2,48,24.7,5403.7,0,Poor,Good
0bef0aa9-5c0f-4cdd-a9f7-58990b84b8fa,51,479429,327,0,33,0.07,355005,6761,1,2,4,1,3,59843,3,0,48,12.36,1586.49,0,Poor,Good
9109681c-31bf-4c98-aa2c-d81ade7b9840,77,371056,523,3,57,0.82,550833,4898,0,1,3,4,5,113162,4,2,48,8.17,2771.65,0,Poor,High
aef11a64-ffb2-4dfc-b336-47dd0b8a452e,58,97474,734,3,37,0.69,776693,7678,2,0,0,0,5,184448,5,0,60,20.84,4973.35,0,Good,High
aca10ada-fd83-4bb4-8bee-17d0faa24a3c,26,293880,784,0,5,0.39,806108,38511,1,2,2,3,0,18495,4,0,360,23.83,367.59,2,Very Good,Acceptable
4e627766-7d5f-4c98-8ead-9c7de0573584,48,203031,436,0,29,0.46,917132,43228,0,1,5,1,3,499068,3,0,12,4.16,42532.08,0,Poor,High
91c26ef0-4098-4b9e-bd00-8d773d88aa95,71,422324,769,0,48,0.21,819507,32562,2,2,5,0,2,342731,3,2,120,17.66,6100.68,0,Very Good,Good
4ed24bc5-9c8c-49ed-93b8-5e47ebe79d6f,57,269592,493,0,33,0.95,444681,20916,2,1,1,0,2,59338,3,3,24,8.79,2705.13,1,Poor,High
f219b879-76ee-4082-b992-61cb2e334a8d,38,291523,351,0,19,0.96,194375,35699,1,0,1,1,4,382177,3,0,12,20.86,35560.27,2,Poor,High
8965bc3d-aa5c-4551-b1ca-2dea9288b468,53,275022,596,0,30,0.9,254154,25193,0,1,5,1,1,98226,4,2,48,6.17,2314.5,2,Fair,High
79f0df93-fa66-4878-b25f-99e2fe81bc9e,27,58004,414,2,9,0.88,953552,20966,1,2,3,1,0,331036,3,0,60,21.31,9013.46,1,Poor,High
f5a28097-f3a6-42d2-a1f5-f2d55a2364a9,18,62576,503,0,0,0.83,98124,26473,2,1,3,1,5,115007,1,0,360,6.57,732.22,1,Poor,High
af7ff9d0-b04a-4b32-b509-53a32cc6bcb2,37,73859,641,3,18,0.29,635117,7427,0,0,4,3,3,332621,0,0,180,15.68,4811.2,0,Fair,Good
59c9e0bc-20a8-4877-96fd-4b20830ee70b,36,432979,698,2,17,0.56,330194,14145,2,0,3,1,4,264266,3,0,120,4.7,2764.36,0,Good,High
b1a4eba5-bdb6-4fb4-ba5f-a439dbbf5b15,30,375406,693,0,8,0.58,400554,3664,2,2,3,0,2,372264,4,2,12,21.22,34702.22,2,Good,High
795ef475-daae-45e6-8479-2611b80f54b0,34,399545,539,0,16,0.94,823607,18796,2,2,0,3,0,185858,0,0,12,9.33,16282.01,0,Poor,High
d1ecae6b-ed95-4f9e-b07e-774a43ce7c7a,46,198769,347,2,28,0.25,382232,36537,2,3,4,1,5,343735,1,2,36,15.71,12035.55,0,Poor,Good
e08f0707-edb6-4dd3-8c78-12d111be2cdc,76,77956,734,2,53,0.55,763201,892,0,1,3,3,0,351070,1,0,12,18.32,32239.58,0,Good,High
c1187887-bbe6-4d62-8fd9-e791787e68de,22,80970,370,3,0,0.16,613376,36156,1,2,2,1,1,249579,0,0,24,11.08,11641.61,1,Poor,Good
6c92cb11-0467-48db-be3e-86afc41da6d1,75,439263,592,0,51,0.06,599648,38273,0,1,0,1,1,23978,3,2,180,22.31,462.59,2,Fair,Good
71bb35c8-44c8-4ade-b6cb-f9580ff7bdc4,69,242683,671,0,50,0.19,422583,21735,2,0,3,1,3,240202,3,0,360,17.81,3582.82,0,Good,Good
ffa5d03a-f57a-422f-bf30-64de28f02abf,32,427515,845,0,11,0.12,624486,14631,1,1,3,0,2,162035,4,0,36,15.08,5623.35,0,Excellent,Good
c79b811a-06e1-46d4-9083-b00f69b8ddd5,33,174557,813,0,13,0.13,284968,19789,0,2,3,3,5,212830,5,0,120,6.42,2407.99,0,Excellent,Good
5a9c6816-3ee2-473b-ba73-1016da57bad7,45,462412,696,0,27,0.76,128733,31384,2,2,4,1,1,51859,2,1,12,9.88,4556.34,0,Good,High
28300e76-a5e5-427a-a611-9de5f306ee00,51,220693,321,0,27,0.45,993023,9026,0,1,1,3,0,283708,3,1,120,7.78,3409.27,1,Poor,High
2ac0cf89-38f5-4dec-aaf5-b39e93c58f25,31,225463,346,3,11,0.87,782997,22395,1,2,2,1,3,332911,5,0,12,13.55,29820.68,0,Poor,High
3ce0552b-32ab-4045-b43f-aabec9d996f5,27,292655,535,3,5,0.22,808928,4493,1,2,5,0,5,289564,2,0,180,4.26,2179.79,2,Poor,Good
dec0f9c5-9c7b-4b34-ad76-bf78f239cd39,39,380983,601,3,15,0.71,153204,23139,1,1,1,1,0,222237,3,1,36,3.23,6485.47,1,Fair,High
16708a0e-cbe1-4b67-89c6-422cf044ee84,36,337112,395,0,17,0.31,103740,22026,2,1,2,4,5,410413,1,2,48,7.74,9969.37,1,Poor,Good
fc0481f1-d3c5-4e68-9116-e1bd3a757316,22,238501,339,2,3,0.67,511345,15302,0,1,4,0,2,267099,0,0,60,5.57,5110.54,0,Poor,High
355765d2-0da3-4b41-826e-b3d44eca3363,24,208285,398,0,4,0.52,863359,49739,2,1,2,0,4,475629,0,3,360,14.07,5661.96,2,Poor,High
80a49b30-1921-4939-9051-4bf379217959,29,192696,565,0,9,0.15,546359,20725,0,2,3,0,1,334007,5,3,120,4.4,3445.52,1,Poor,Good
e40aab98-3f24-4b42-867d-e19d7af7c4c0,23,369019,528,0,4,0.95,892774,49407,0,2,1,1,3,233548,5,3,60,21.31,6359.05,0,Poor,High
65cef5e3-cc38-4a73-a359-f04fe6edbc65,40,188466,583,0,21,0.06,173993,15288,2,1,2,0,3,132282,1,0,48,14.24,3630.75,1,Fair,Good
3192dd17-75aa-46e7-9c69-6181979e7dc9,71,138170,379,2,53,0.47,150644,49503,2,1,2,3,3,8474,3,1,36,12.49,283.45,2,Poor,High
4ff1f31e-276b-4226-86ad-b86d193dacc6,68,445510,593,0,46,0.72,510982,20972,2,2,2,3,0,390746,1,1,24,23.8,20620.19,0,Fair,High
1ce8310c-850c-403a-a2b1-ae451588267a,24,125093,650,3,6,0.88,818180,9020,0,0,4,1,0,27758,5,2,120,5.72,304.28,1,Fair,High
78e73923-3ee7-437c-a7e1-da7a125dd27a,44,38961,849,0,20,1.0,10340,15207,1,1,1,4,5,29173,0,1,360,21.92,533.68,1,Excellent,High
363b6626-c116-4cb9-8012-d167314e2893,27,450518,822,0,7,0.59,287661,15097,2,1,1,1,2,151535,0,2,360,7.41,1050.23,0,Excellent,High
04b376fd-1f6c-4589-a0fb-efb888016a40,33,313798,801,2,14,0.98,907601,27736,0,1,4,3,2,233689,2,0,12,7.57,20281.81,0,Excellent,High
a7ffc0bf-b039-4f42-8412-5a9392027520,66,199387,808,3,42,0.55,189251,44727,0,1,3,4,0,142514,3,0,36,17.4,5109.43,1,Excellent,High
3bab291b-4a08-4d63-85d7-db139ad9b604,59,274154,643,0,39,0.64,238458,961,2,2,2,1,4,221391,2,0,24,13.47,10574.27,0,Fair,High
c56d91fa-3adc-4ec9-a5b7-5ecef6ab8229,68,474344,547,0,48,0.67,890302,15714,0,1,4,3,0,289741,5,1,36,21.47,10986.06,2,Poor,High
927b4a91-d855-4b14-9de4-ed19f2791509,64,40673,444,3,44,0.71,719518,31744,2,2,5,3,5,195908,3,2,180,13.81,2584.03,0,Poor,High
